HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
32,29,0,1,2,-7,0.0,20.0,0.6,0.8,11.0,7.2,5.2,3.4,6.2,2.2,1.6,1.4,13.6,12.2,2012,4
34,11,1,1,1,9,0.0,20.0,0.4,0.6,12.8,9.4,7.0,4.0,6.2,4.8,2.0,1.0,13.2,13.0,2012,4
9,19,1,3,3,1,60.0,80.0,1.6,2.0,18.2,11.8,9.6,8.0,8.0,6.8,1.0,0.8,8.8,10.6,2012,5
21,1,2,2,1,3,40.0,60.0,1.2,1.6,14.6,11.8,7.2,6.6,6.4,5.6,1.2,0.8,11.8,11.8,2012,5
17,30,1,0,0,1,40.0,40.0,1.2,1.8,18.8,16.2,9.8,9.6,10.4,8.2,0.6,1.4,5.2,10.8,2012,6
2,23,2,3,2,-3,20.0,0.0,1.2,0.6,17.2,8.4,10.2,4.8,6.0,5.0,1.8,1.2,11.0,15.2,2012,11
3,34,0,1,2,-2,20.0,20.0,1.0,1.2,12.6,9.0,8.0,5.0,4.8,2.0,1.2,2.8,12.8,15.6,2012,11
11,9,2,2,0,5,40.0,20.0,1.0,1.0,15.0,16.8,7.4,8.8,7.0,7.2,0.8,0.8,10.8,10.4,2012,11
12,27,2,2,1,-5,60.0,40.0,2.0,0.8,14.6,5.8,7.6,2.2,5.0,2.6,1.8,1.4,15.0,13.6,2012,11
19,17,2,2,1,-5,80.0,40.0,3.2,1.2,19.0,17.8,11.2,10.8,11.0,7.8,0.8,1.2,9.8,12.2,2012,11
28,0,0,1,2,6,80.0,20.0,1.8,1.0,11.8,13.4,6.6,8.0,4.0,6.4,0.4,1.4,12.0,13.8,2012,11
29,22,0,2,3,0,40.0,40.0,1.6,1.4,10.6,11.4,6.0,5.8,6.2,4.4,1.0,1.6,14.0,16.2,2012,11
30,21,2,5,0,-7,60.0,40.0,1.6,1.8,18.4,10.4,10.8,6.2,8.0,2.8,0.6,2.4,10.8,13.0,2012,11
1,18,0,0,1,6,0.0,20.0,0.8,0.4,15.2,15.8,8.0,8.6,8.6,6.8,1.8,0.8,9.0,8.8,2012,12
35,32,0,1,5,6,0.0,60.0,1.2,1.6,11.0,13.0,5.8,6.6,5.6,4.6,2.4,1.2,15.0,16.2,2012,12
9,3,2,3,0,-12,40.0,40.0,1.6,0.8,18.6,11.0,9.4,5.8,7.4,6.6,1.6,1.8,10.2,16.8,2012,25
18,2,2,3,0,-12,100.0,20.0,2.6,1.4,14.8,7.0,10.0,4.0,5.4,2.8,0.4,2.6,11.0,22.2,2012,25
